CSA2010,Percent  Population 16-64 Employed (2008-2012),Percent  Population 16-64 Unemployed and Looking for Work (2008-2012),Percent  Population 16-64 Not in Labor Force (2008-2012),Unemployment Rate (2008-2012),Percent  Population (25 years and over) With Less Than a High School Diploma or GED (2008-2012),Percent  Population (25 years and over) With High School Diploma  (2008-2012),Percent  Population (25 years and over) with Some College or Bachelor's Degree or Higher (2008-2012),Percent of the Population that Work Outside of the City (2010),Percent of the Population that Work Outside of the City (2011),Total Number of Commercial Properties (2010),Total Number of Commercial Properties (2011),Total Number of Commercial Properties (2012),Percent of Commercial Properties with Rehab Permits Above $5000 (2010),Percent of Commercial Properties with Rehab Permits Above $5000 (2011),Percent of Commercial Properties with Rehab Permits Above $5000 (2012),Number of Banks and Bank Branches per 1000 Residents (2011),Number of Banks and Bank Branches per 1000 Residents (2012),Total Number of Businesses (2010),Total Number of Businesses (2011),Total Number of Businesses (2012),Total Number of Employees (2010),Total Number of Employees (2011),Total Number of Employees (2012),Number of Businesses with Under 50 Employees (2010),Number of Businesses with Under 50 Employees (2011),Number of Businesses with Under 50 Employees (2012),Percent of Businesses that are 1 year old or less (2010),Percent of Businesses that are 1 year old or less (2011),Percent of Businesses that are 1 year old or less (2012),Percent of Businesses that are 2 years old or less (2010),Percent of Businesses that are 2 years old or less (2011),Percent of Businesses that are 2 years old or less (2012),Percent of Businesses that are 4 years old or less (2010),Percent of Businesses that are 4 years old or less (2011),Percent of Businesses that are 4 years old or less (2012),Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors) (2010),Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors) (2011),Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors) (2012),Neighborhood Businesses per 1000 residents (NAICS Sectors) (2010),Neighborhood Businesses per 1000 residents (NAICS Sectors) (2011),Neighborhood Businesses per 1000 residents (NAICS Sectors) (2012),Total number of Employees by Selected Neighborhood Industry (NAICS Sectors) (2010),Total number of Employees by Selected Neighborhood Industry (NAICS Sectors) (2011),Total number of Employees by Selected Neighborhood Industry (NAICS Sectors) (2012)
Allendale/Irvington/S. Hilton,57.7,13.6,29.1,19.2,24.5,64.5,11.0,60.3,59,279,278,284,13.3,8.6,13.7,0.0,0,269,237,253,2778,2502,2629,255,226,242,8.9,11.0,9.5,19.3,15.6,24.5,33.8,29.1,34.8,183,161,162,11.3,9.9,10.0,1503,1378,1370
Beechfield/Ten Hills/West Hills,66.9,10.1,23.2,13.3,14.2,63.5,22.3,62.5,66.9,47,47,46,25.5,27.7,4.3,0.1,0.1,154,136,141,1462,1329,1383,148,130,134,3.9,8.1,4.3,22.1,12.5,12.1,32.5,30.1,29.8,98,87,88,8.0,7.1,7.2,753,663,684
Belair-Edison,62.3,12.0,25.8,16.3,18.8,67.2,14.0,48.5,49.4,165,165,165,8.5,10.9,8.5,0.2,0.1,225,224,251,1590,1540,1605,217,217,244,8.9,12.1,7.6,22.7,18.8,23.5,31.6,31.3,38.6,172,172,189,9.9,9.9,10.9,1044,915,1008
Brooklyn/Curtis Bay/Hawkins Point,56.6,14.5,29.3,20.5,34.2,59.5,6.4,72.7,75.8,880,838,856,5.2,7.4,13.7,0.1,0.1,329,414,317,6127,6696,4945,297,386,291,2.7,7.5,6.9,10.9,15.0,14.8,21.9,30.7,23.0,161,208,153,11.3,14.6,10.7,1227,1463,1114
Canton,84.6,3.6,12.0,4.0,8.6,30.2,61.2,53.7,50.5,205,210,208,14.1,13.3,13.5,0.5,0.2,314,322,364,2653,2516,2921,307,316,352,7.6,10.9,11.5,17.8,17.7,26.1,33.4,34.2,39.0,214,230,248,26.4,28.4,30.6,2029,1887,2211
Cedonia/Frankford,65.3,9.6,25.0,12.9,20.0,68.1,11.9,53.1,50,231,231,231,7.8,9.5,6.9,0.3,0.1,426,379,407,3281,2935,2963,414,368,397,9.4,10.6,9.8,22.3,17.7,21.1,36.2,33.5,35.6,316,280,297,13.4,11.9,12.6,2255,1998,2073
Cherry Hill,51.3,14.7,34.3,22.3,23.3,69.6,7.1,57.1,53.2,91,93,93,29.7,38.7,23.7,0.0,0.0,88,138,100,872,1198,1190,84,132,95,3.4,9.4,5.0,5.7,18.8,16.0,14.8,26.8,21.0,47,85,56,5.7,10.4,6.8,353,625,641
Chinquapin Park/Belvedere,69.5,9.3,21.4,11.9,13.2,52.9,33.9,55.1,48.4,57,57,56,10.5,17.5,21.4,0.3,0.4,140,128,145,1170,1153,1211,136,124,140,5.7,7.0,9.7,21.4,10.9,20.0,32.1,28.9,35.2,106,99,107,13.7,12.8,13.8,880,868,891
Claremont/Armistead,61.5,9.2,29.7,13.1,25.9,65.4,8.7,56.7,61.6,183,182,186,10.4,7.7,9.1,0.0,0,177,185,190,2681,3024,2749,162,168,176,7.3,7.0,7.9,14.7,14.1,16.8,27.7,26.5,28.4,76,77,86,9.2,9.4,10.4,1124,1243,1137
Clifton-Berea,46.5,12.1,42.1,21.0,27.6,64.0,8.4,49.1,45.8,149,149,150,6.7,4.7,19.3,0.0,0,182,169,164,2009,1487,1448,173,161,156,4.9,7.7,5.5,15.9,11.2,13.4,34.1,29.0,26.2,132,126,120,13.4,12.8,12.2,709,732,721
Cross-Country/Cheswolde,73.0,5.7,21.4,7.2,5.9,42.0,52.2,59.6,53.8,24,24,24,20.8,16.7,16.7,0.0,0,209,193,207,1088,979,1151,207,191,204,3.3,9.3,5.8,22.0,13.0,19.3,40.7,38.9,38.2,138,124,132,10.6,9.5,10.1,563,517,612
Dickeyville/Franklintown,62.4,9.1,28.4,12.7,16.3,62.9,20.7,58.1,54.7,29,30,30,3.4,16.7,46.7,0.0,0,32,39,32,258,310,212,31,37,31,3.1,5.1,9.4,15.6,12.8,18.8,37.5,35.9,28.1,18,17,14,4.4,4.1,3.4,135,91,82
Dorchester/Ashburton,60.4,12.1,27.4,16.7,14.0,67.8,18.2,53.8,62.2,116,116,117,7.8,6.0,6.0,0.0,0,173,177,184,1438,1173,1430,166,172,177,12.1,10.7,12.0,23.7,20.9,23.9,37.6,32.8,39.7,136,137,141,11.5,11.6,12.0,727,564,822
Downtown/Seton Hill,61.6,3.1,35.9,4.9,9.2,25.5,65.3,40.9,39.5,1260,1240,1240,23.3,26.6,25.2,5.6,3.6,2985,2730,2923,85143,86930,85752,2818,2594,2705,7.3,8.5,6.6,19.2,14.3,17.9,35.9,31.1,31.5,2210,2041,2176,456.2,421.3,337.6,58327,53390,62369
Edmondson Village,60.2,16.0,23.8,20.9,22.1,68.7,9.2,59.3,58,32,32,32,6.3,6.3,28.1,0.0,0.0,55,58,65,501,380,394,53,57,64,7.3,10.3,7.7,16.4,17.2,24.6,27.3,32.8,36.9,42,41,49,5.3,5.2,6.2,307,200,225
Fells Point,81.4,5.1,14.1,5.9,10.7,25.7,63.6,47.4,43.1,526,527,528,9.9,13.1,20.3,0.6,0.6,491,462,514,5649,5572,5929,474,445,495,8.4,7.6,7.4,20.6,12.1,19.1,34.6,30.5,31.7,362,346,376,40.0,38.3,41.6,4801,4742,5020
Forest Park/Walbrook,58.5,9.8,31.9,14.4,18.5,61.5,19.9,56,60.5,53,52,52,20.8,3.8,7.7,0.0,0.0,146,142,142,767,691,652,144,141,142,13.7,12.0,7.7,26.0,23.9,24.6,39.7,43.0,41.5,114,108,110,11.6,11.0,11.2,549,456,483
Glen-Fallstaff,64.1,11.5,24.3,15.1,18.9,55.6,25.5,56.3,42,333,332,332,7.5,13.6,7.5,0.3,0.3,711,672,704,8523,6052,8028,683,646,656,8.0,6.3,7.5,21.0,14.6,15.5,33.8,32.6,31.4,484,451,460,32.5,30.2,30.8,3688,3542,3526
Greater Charles Village/Barclay,52.4,6.4,41.5,10.9,14.8,39.0,46.2,49.2,58,630,626,614,18.9,17.7,20.7,0.2,0.2,884,842,896,10955,7377,7585,862,823,870,10.2,10.0,9.8,21.9,18.5,22.2,40.0,36.5,36.7,668,652,669,40.8,39.8,40.8,8545,4879,5182
Greater Govans,57.6,9.6,31.9,14.2,24.0,61.8,14.2,52.4,49,122,121,120,4.1,3.3,10.0,0.0,0.0,149,153,156,989,921,983,146,151,153,7.4,9.2,5.1,26.8,15.7,17.9,38.3,36.6,37.8,107,109,112,10.0,10.2,10.5,535,551,561
Greater Mondawmin,55.2,14.0,31.3,20.4,19.7,65.9,14.4,52,47,147,147,147,19.0,20.4,15.0,0.2,0.4,225,262,281,4279,3732,3349,209,245,263,8.4,11.1,11.4,16.4,19.5,25.3,31.1,32.1,36.3,152,185,203,16.3,19.8,21.8,2323,1798,1865
Greater Roland Park/Poplar Hill,77.7,3.7,18.1,4.6,1.8,22.8,75.4,44.8,37.3,116,116,116,26.7,12.9,16.4,0.7,0.5,350,356,395,3412,3710,3812,334,339,372,5.7,5.3,8.9,17.4,6.7,16.7,30.9,23.6,28.1,265,275,293,35.9,37.3,39.7,2323,2540,2544
Greater Rosemont,49.3,13.9,36.9,22.1,29.4,62.8,7.8,51.6,51.5,301,300,304,6.6,7.0,6.6,0.1,0.1,311,284,316,2005,2354,2488,303,273,304,9.3,9.5,10.1,21.5,18.3,23.7,37.3,35.2,38.3,232,213,226,12.0,11.1,11.7,1016,1119,1164
Greenmount East,46.0,15.6,39.2,25.8,26.5,69.0,4.5,47.5,52.8,193,193,193,1.6,3.1,4.7,0.0,0.0,178,165,182,1173,1097,1145,172,160,176,10.1,9.1,12.1,21.3,14.5,23.1,30.9,29.1,33.5,137,136,138,14.5,14.4,16.9,730,679,673
Hamilton,75.3,7.0,17.8,8.5,11.7,61.9,26.4,56,59.5,195,195,193,7.2,11.3,4.1,0.1,0.2,263,241,265,2149,1862,1807,254,233,258,6.1,5.4,8.3,20.2,8.7,17.4,34.6,27.8,29.1,184,169,184,14.2,13.0,14.2,1395,1277,1185
Harbor East/Little Italy,59.9,11.6,29.1,16.3,26.7,39.2,34.1,41.9,43.9,489,484,479,14.5,12.6,10.2,0.7,0.7,408,389,419,41601,45289,42537,390,368,388,10.3,8.7,8.6,23.5,15.4,20.0,39.5,33.7,32.9,260,260,271,48.1,48.1,50.1,6367,10134,7337
Harford/Echodale,73.2,5.9,20.9,7.5,11.4,66.3,22.3,60.3,56.5,191,190,188,6.8,14.2,12.8,0.2,0.1,278,316,285,2549,2536,2549,269,308,275,4.7,9.5,9.1,12.9,15.5,20.0,25.9,27.5,29.1,185,216,186,11.0,12.8,11.0,1236,1204,1108
Highlandtown,77.9,4.5,17.6,5.5,23.2,40.5,36.4,54.7,51.5,374,371,373,9.4,11.6,11.5,1.0,0.7,386,369,409,2803,2528,2728,375,358,395,9.8,8.1,9.3,19.2,15.4,20.8,31.6,30.1,32.8,271,258,279,37.4,35.6,38.5,1979,1677,1740
Howard Park/West Arlington,60.9,11.5,27.2,15.8,16.6,67.9,15.5,57.3,52.6,156,155,151,11.5,8.4,13.9,0.3,0.2,174,207,174,2889,2927,2887,163,195,157,2.9,7.2,5.2,14.9,13.5,10.9,28.7,30.9,23.6,123,148,126,11.3,13.6,11.6,1960,2159,2283
Inner Harbor/Federal Hill,79.6,5.2,15.5,6.1,10.0,23.6,66.4,54.3,55.5,505,509,498,19.2,27.5,31.3,0.4,0.4,810,767,833,15541,14565,14471,756,716,773,7.9,9.5,9.1,21.6,15.1,21.8,37.4,33.4,35.4,570,566,589,69.9,69.4,45.8,10665,9633,9646
Lauraville,66.5,10.7,22.6,13.8,10.5,54.4,35.1,54,61,144,134,133,3.5,2.2,5.3,0.1,0,234,220,239,1752,1430,1533,227,215,231,12.4,10.5,8.4,27.8,20.5,22.2,40.2,37.7,39.3,157,149,158,12.8,12.1,12.9,1225,950,956
Loch Raven,66.1,8.6,25.4,11.5,16.0,58.4,25.6,53.1,49,53,53,50,34.0,20.8,40.0,0.2,0.2,216,203,213,4256,2016,1949,206,193,196,5.1,6.9,3.8,20.8,11.3,14.1,29.6,28.6,30.5,171,166,169,11.2,10.8,11.0,3650,1458,1364
Madison/East End,43.2,15.6,41.7,26.9,41.3,54.9,3.8,49.9,45.8,183,183,187,7.7,1.6,1.1,0.0,0.0,212,162,218,1142,923,1150,209,160,216,9.0,8.6,11.9,19.8,14.2,23.9,36.3,30.2,35.3,174,136,168,22.4,17.5,21.6,756,585,709
Medfield/Hampden/Woodberry/Remington,78.2,5.1,17.0,6.1,15.1,36.3,48.6,50.4,49.5,551,545,544,10.3,13.8,19.1,0.2,0.3,861,818,849,12954,9358,9521,828,788,803,7.3,6.0,4.7,17.4,12.6,13.2,31.0,28.0,27.4,560,552,575,32.2,31.7,33.1,4620,4108,4762
Midtown,62.7,4.9,32.7,7.4,13.7,29.8,56.5,46.8,52.5,966,963,815,8.1,7.8,12.1,0.2,0.3,1100,993,1079,29523,26944,13479,1063,964,1037,10.1,6.6,9.3,18.9,14.3,17.9,32.5,27.2,29.9,799,725,763,53.2,48.3,50.8,22948,22533,6661
Midway/Coldstream,55.8,11.8,32.7,17.5,23.8,71.4,4.8,52.9,49.3,284,284,284,3.2,3.9,2.5,0.1,0.1,228,207,218,1576,1352,1538,223,203,213,10.1,6.8,8.3,21.1,13.5,20.6,36.4,33.3,32.6,163,154,153,16.9,16.0,15.9,787,707,721
Morrell Park/Violetville,63.9,9.8,26.5,13.4,31.3,58.8,9.9,68.7,67.1,474,475,477,11.0,10.5,17.6,0.1,0.1,463,456,436,7894,8240,9706,431,423,396,5.8,5.7,4.8,15.8,12.3,11.5,27.9,27.0,24.5,277,276,260,30.9,30.8,29.0,3659,4107,5771
Mount Washington/Coldspring,84.1,4.1,11.3,4.7,5.6,25.6,68.8,49.9,49.8,102,99,98,9.8,14.1,26.5,0.2,0.0,219,194,200,3220,2530,2705,204,182,185,6.4,5.2,6.0,25.1,11.3,13.0,37.9,38.1,33.5,158,138,136,30.6,26.7,26.3,2631,2062,2129
North Baltimore/Guilford/Homeland,59.1,3.7,37.1,5.9,3.6,24.0,72.4,50.2,52.2,235,235,235,22.1,17.0,15.7,0.1,0.0,411,394,415,4089,2961,3745,397,385,401,6.3,7.4,6.3,20.4,13.2,14.5,32.8,31.0,30.8,307,295,313,17.6,16.9,17.9,2594,1734,2224
Northwood,58.2,9.4,32.4,13.9,13.7,61.5,24.8,53.5,46.6,63,63,63,11.1,19.0,22.2,0.0,0.1,157,145,153,3220,2541,2685,148,137,143,13.4,9.0,5.9,32.5,18.6,18.3,43.9,40.7,38.6,107,94,100,6.4,5.6,6.0,1861,1821,1846
Oldtown/Middle East,41.1,12.6,46.8,23.6,35.7,51.6,12.7,51.4,49.9,480,486,495,24.4,27.2,24.0,0.3,0.4,475,480,482,15720,9657,14518,448,456,447,7.8,6.3,6.6,26.9,11.0,14.9,43.6,37.9,37.1,367,382,361,42.0,43.7,36.0,10872,5870,9026
Orangeville/East Highlandtown,68.9,8.0,23.4,10.4,38.6,47.7,13.7,58.7,55.7,619,620,625,15.5,16.1,21.0,0.3,0.3,553,542,562,10386,10063,10090,520,511,518,6.5,4.8,6.8,18.8,11.6,13.7,32.7,31.5,31.7,310,304,307,34.0,33.3,33.6,6662,6420,6356
Patterson Park North & East,65.2,9.4,25.6,12.7,27.7,41.7,30.6,51.7,45.5,162,162,161,7.4,6.8,6.8,0.1,0.0,205,194,207,1403,1382,1383,200,189,203,8.3,10.3,11.1,18.5,19.1,22.7,39.5,34.5,33.8,159,148,155,10.9,10.2,10.7,763,745,774
Penn North/Reservoir Hill,52.1,12.1,36.3,19.0,24.2,55.8,19.9,49.9,43.2,145,143,140,6.9,7.0,3.6,0.0,0.1,246,160,166,2398,1372,1337,238,155,161,6.5,11.3,7.2,16.7,16.3,19.9,30.1,30.0,30.1,180,113,116,18.6,11.7,12.0,1322,533,492
Pimlico/Arlington/Hilltop,50.9,12.3,36.9,19.6,25.7,66.2,8.1,55.7,50.1,207,207,208,22.7,23.7,14.4,0.2,0.1,360,332,371,4281,3358,4629,349,321,344,7.2,6.9,9.4,23.9,13.9,20.8,34.7,34.3,38.3,299,277,301,25.3,23.4,25.5,3796,2905,4095
Poppleton/The Terraces/Hollins Market,50.9,9.9,40.1,16.6,28.6,54.9,16.5,49,55.5,233,233,236,9.0,11.6,4.2,0.2,0.4,149,134,148,1203,1081,1180,145,131,144,12.8,6.7,10.1,30.2,20.9,20.9,40.9,41.8,43.2,110,93,96,21.6,18.3,18.9,831,680,667
Sandtown-Winchester/Harlem Park,48.2,15.2,37.1,24.2,33.7,60.7,5.6,51.3,47,190,192,188,14.2,22.4,7.4,0.0,0.0,246,221,249,1730,1551,1797,238,214,240,11.8,9.0,10.4,23.6,16.3,22.9,33.7,29.9,37.3,199,188,202,13.4,12.6,13.6,1017,1018,1068
South Baltimore,81.4,7.2,12.0,8.2,12.6,31.9,55.6,57.7,53.3,251,252,260,25.9,30.6,21.5,0.5,0.5,244,236,258,7213,7142,9151,227,223,237,8.2,6.4,7.0,17.6,11.9,17.1,32.8,28.4,29.1,152,155,168,13.7,14.0,26.2,2357,5967,7854
Southeastern,58.0,9.2,33.2,13.9,30.0,60.4,9.6,59.6,55.6,429,429,434,11.0,13.5,16.8,0.5,0.6,388,413,428,19662,13684,13550,353,381,392,7.0,8.7,6.1,17.8,17.2,17.3,32.2,33.2,32.0,180,200,204,28.8,31.9,32.6,2783,3093,3077
Southern Park Heights,47.3,17.0,35.6,26.5,28.0,63.0,9.0,55.2,51.8,179,180,180,6.7,5.6,3.9,0.0,0.0,203,188,204,1708,1582,1590,196,181,197,9.4,8.5,10.3,21.2,16.0,21.1,36.5,31.9,34.3,147,137,145,11.1,10.3,10.9,890,841,829
Southwest Baltimore,50.9,17.0,32.7,25.3,31.1,59.4,9.6,56.9,60.1,700,698,697,3.0,3.6,3.7,0.0,0.1,452,442,478,3938,4148,3386,443,431,465,9.3,10.9,9.0,20.6,18.6,23.8,33.4,34.4,36.6,324,326,344,18.1,18.2,19.2,2564,2689,1762
The Waverlies,65.8,11.9,22.5,15.4,20.2,58.3,21.4,47.8,55.6,172,172,173,6.4,6.4,6.9,0.0,0.0,170,164,184,1972,1955,2059,163,157,175,4.7,9.1,9.8,18.2,15.2,21.2,33.5,32.9,36.4,114,113,127,14.7,14.6,16.4,858,842,910
Upton/Druid Heights,38.5,16.2,45.6,29.9,36.0,54.1,9.9,50.1,55.1,315,312,312,7.6,6.1,4.2,0.0,0.0,314,298,304,2747,2662,2885,301,287,270,9.9,8.7,5.6,19.7,14.8,16.8,28.3,27.5,28.3,203,199,194,17.0,16.7,18.8,1151,1265,1243
Washington Village/Pigtown,63.0,9.0,28.4,12.7,22.8,44.6,32.5,57.3,53.6,342,341,338,14.6,15.2,13.6,0.4,0.4,350,323,367,8327,5908,7153,320,300,328,8.0,5.3,9.5,14.9,11.5,20.7,28.3,26.0,31.1,183,173,187,33.3,31.4,34.0,1619,3061,3647
Westport/Mount Winans/Lakeland,61.2,9.4,29.6,13.3,30.6,60.6,8.9,64.5,60.9,253,253,253,13.4,11.1,4.3,0.1,0.0,247,243,244,3592,3612,3443,229,224,226,11.3,7.8,6.1,20.6,16.0,16.4,33.2,28.8,29.1,147,146,147,20.6,20.5,20.6,1747,1668,1513
Baltimore City,61.0,9.8,29.4,13.9,20.4,53.5,26.1,54.2,53.8,15828,15741,15609,12.4,13.6,14.4,0.2,0.2,20243,19318,20403,377092,342817,341911,19321,18503,19265,8.0,8.1,7.9,20.0,14.8,18.7,34.2,31.6,32.6,14116,13621,14095,22.7,21.9,22.7,204596,191144,191306